,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
26,ber,990,7.0,2022-05-31,2022-07-04,0.9197815745437536,TK+,0,-0.7083602435990303,1.983957571419443,1.5292932342012968,0.3290736687755652,0.4487089954144765,2.0,0.7323322360838899
30,ces,752,12.375,2020-03-08,2020-06-11,0.9204202932954573,TK+,0,-0.2236523449035458,2.688886405455379,0.6491044965755696,0.4087795084938345,0.848448340834347,0.6348040587116215,0.7805761907963872
31,ces,848,11.629032258064516,2020-07-17,2020-09-16,0.8861194181869569,TK+,0,-1.1336985833232305,1.2567203391842057,2.220804046686157,0.9667263966826873,0.596877923536622,0.724227632816985,0.5964951804526145
32,ces,811.0,11.69047619047619,2020-10-03,2020-11-13,0.8832070177439008,TK+,0,-0.9485175594908687,1.1610090597452454,1.9761812680600965,0.929276519162233,0.6050786581629501,0.731115973361831,2.0
33,ces,970.0,8.820224719101123,2021-12-14,2022-03-12,0.9061515355129549,TK+,0,-0.793818881785033,1.1224078057685358,3.8427317566563235,1.4987109272453443,0.4841980843231017,0.9550303406154186,0.6719308393742529
35,dor,829,12.12,2020-11-15,2021-02-22,0.8788045047362351,TK+,0,-0.4726709178998238,2.464005904344213,0.9311797491132029,0.322088443250028,0.7436245658512558,1.0429246078353787,0.1
36,dor,723,15.272727272727273,2021-06-17,2021-09-12,0.934082003769656,TK+,0,-0.4123825663835552,2.521545209671369,1.443573474601571,0.5557887845885291,0.45490779563811046,1.5119372311798505,2.0
37,dor,783.0,15.073170731707316,2021-10-20,2022-02-19,0.9086448430835121,TK+,0,-0.1733034297075021,2.2996578141941124,1.5037264950429161,0.8175922853113741,0.4934621029916565,1.5470717727976695,2.0
38,dor,708.0,14.88135593220339,2022-04-14,2022-06-11,0.8927128602682279,TK+,0,-0.47710578632907913,2.125040163587249,2.0932379431755996,0.9302876128610844,0.36555397231523484,1.4551884247653581,0.7060220407040252
39,dor,780.0,,2023-05-14,2023-06-10,0.8754226042989113,TK+,0,-0.4204843168300568,1.6031329357801598,2.8846509238587363,1.1484135210730282,0.33178247698175634,1.3107558321711696,0.6204752690454339
40,eri,659,16.294820717131476,2021-02-03,2021-10-11,0.9340712480375607,TK+,0,-0.32472280752954313,1.924898564967519,1.507015284101509,0.634327379695293,0.42935490958543354,2.0,0.7646042530124836
41,eri,864,10.837078651685394,2022-03-15,2022-09-19,0.9534087488983736,TK+,0,-0.11414354662034028,2.2088871426617107,1.3606041271109937,0.9707133762610874,0.7906726500096688,1.0268984486651334,2.0
42,eri,1011.0,,2023-02-27,2023-06-16,0.9355641589418429,TK+,0,-0.32482186131993385,1.5489112591644265,2.7144855823097274,1.2120562250789375,0.5183649993978505,1.0617623444589777,2.0
45,fic,758,14.284090909090908,2021-07-21,2021-10-16,0.9196701459523854,TK+,0,-0.27407360086825866,1.6028365886424578,0.6873264983508703,0.7402135996743484,0.8463148260623687,0.5690111707561909,0.4125328910834007
46,fic,898,10.0,2022-04-09,2022-05-31,0.9030040194594321,TK+,0,-0.6998772322843608,1.368038525882319,2.036776153075572,1.1016324894269944,0.8043310115068409,1.233487904092689,2.0
47,fic,834.0,11.486842105263158,2022-06-11,2022-08-25,0.8950368671071793,TK+,0,-0.6621190035257316,1.010911347319821,2.888058969529161,1.2802860583401772,0.6161312607101738,1.1335076879957755,2.0
48,fic,917.0,10.0,2022-09-03,2022-11-20,0.8896121104102626,TK+,0,0.00482025833017209,1.2273217078531635,2.4588766297868547,1.3546497368834658,0.6181162853125506,1.0411329851174427,2.0
49,fic,930.0,,2023-05-03,2023-06-15,0.9169390342136362,TK+,0,-0.6948951430939866,1.3048052429167725,2.7736417227444945,1.383338510644735,0.8732463341826963,1.231192072341681,2.0
50,her,850,,2022-09-16,2022-11-16,0.8906784618034385,TK+,0,-1.9213730679980798,0.7973854568950749,3.3385979973363304,0.6851362981637599,0.544025113578162,0.4635634019725373,0.4008703364239363
51,her,685,,2023-05-04,2023-06-07,0.8789093181033976,TK+,0,-1.1906693687661445,1.09099212959909,2.9065135152494164,0.9973226876674943,0.5527896809774097,2.0,2.0
55,hor,741,,2022-10-31,2023-04-14,0.8572873856283871,TK+,0,0.5365391963339419,0.48507454162046765,1.3336235893452146,0.9108200256485702,0.8147876155721733,0.5938928764013538,0.1
56,hor,841,,2023-05-12,2023-06-10,0.9106733299610789,TK+,0,-0.5243186018172096,2.4197759519338087,1.0623996951783254,0.6795290941124891,0.7439039565421699,0.8871023031044984,2.0
60,las,737,15.175298804780876,2020-10-07,2022-02-20,0.9221048830600916,TK+,0,0.14696925908920672,2.789401488993153,0.43280419839119183,0.24362370946566217,0.7490474168731817,0.8348084360687601,0.3002951283042684
61,las,591,,2022-09-12,2023-06-16,0.9096126061527979,TK+,0,0.007156320113277179,3.260659454293601,0.7223832000135227,0.2554527332831467,0.6360253263347375,0.7776949815232199,0.6324844194736521
65,nem,903,8.733727810650887,2020-02-02,2020-07-19,0.896260471469559,TK+,0,-0.374628039679307,1.8432823696123843,0.7060930335364416,0.6044022133259667,1.0256877129898532,0.845870328998648,2.0
66,nem,1024,7.534313725490196,2020-07-28,2021-02-16,0.8775371524980328,TK+,0,-0.9386215405295941,0.6293959742752044,4.745960241080793,0.8456379404265368,0.541180235652198,1.0449504893039754,0.46000702940221666
67,nem,1004.0,7.375,2021-06-27,2021-09-14,0.9127127654424201,TK+,0,-1.6259392829874115,1.2484845960833149,2.918420562223913,1.0150732300271899,0.7413045457615884,0.8563594008778038,0.38832142446037704
