,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
21,bar,1167,3.64,2021-09-24,2022-09-21,0.9507356771835522,P1+,0,-0.4319201539165467,2.538391502644369,2.127634944122512,1.149164605616988,0.5270985740573553,0.7211398159198656,0.6911565505335862
25,ber,926,9.605263157894736,2021-11-04,2021-12-11,0.8552956576600312,P1+,0,-0.6652576504139986,0.8314525707946121,3.1691483085972583,0.40083360035132587,0.15394839615769454,0.6536945400474502,0.553387955120103
26,ber,990,7.0,2022-05-31,2022-07-04,0.9169636605408527,P1+,0,-0.5571691199939736,2.503468707183192,1.1319692434673576,0.2598692338608512,0.4547810816206396,0.5394977910535542,0.7531188720444517
30,ces,752,12.375,2020-03-08,2020-06-11,0.9235034281318872,P1+,0,-0.22398931765982757,2.6941428998615073,0.6341709206000807,0.394532303105929,0.8647060583276313,0.6911285992088153,0.7875604978460685
31,ces,848,11.629032258064516,2020-07-17,2020-09-16,0.8858567758373581,P1+,0,-1.185225747472921,1.2016510960279518,2.3633191708109416,0.9861866940809016,0.5629558082258226,0.7341407467363419,0.7072673937689236
32,ces,811.0,11.69047619047619,2020-10-03,2020-11-13,0.8742057864564111,P1+,0,-1.0510596278373008,1.0194045205766513,2.7189646408224886,0.9791091619874536,0.43284029842074556,0.7199778915295123,0.7665932584223378
33,ces,970.0,8.820224719101123,2021-12-14,2022-03-12,0.9075220799166174,P1+,0,-0.8377982584272474,1.0654151347755587,4.048708058773261,1.5091090892389383,0.4774819717250059,1.2109677193342299,0.6572659775208507
35,dor,829,12.12,2020-11-15,2021-02-22,0.867266902435859,P1+,0,-0.5842995572577204,1.927205660644173,1.8322452170050287,0.3201816577982265,0.18807083384966441,1.2029888702385714,0.2562140193096229
36,dor,723,15.272727272727273,2021-06-17,2021-09-12,0.9251926894283132,P1+,0,-0.41531858800905236,2.4291421521533767,1.7996560727319268,0.4727163691640889,0.3353301499397898,2.0,0.8015747220864943
37,dor,783.0,15.073170731707316,2021-10-20,2022-02-19,0.9016483879724959,P1+,0,-0.155333367055566,2.484593484124413,1.5532037105101775,0.6763235701705219,0.332256416120556,2.0,1.1178981205551795
38,dor,708.0,14.88135593220339,2022-04-14,2022-06-11,0.9080103527575072,P1+,0,-0.43480997746936584,2.454960824397728,1.815613996921751,0.7980951862707656,0.36409707194160534,2.0,0.7196866400392893
39,dor,780.0,,2023-05-14,2023-06-10,0.8923757535765338,P1+,0,-0.39082671813328107,1.8010387898850735,2.579032661066334,1.0279155158513986,0.3143451451041426,2.0,0.6398819932590493
40,eri,659,16.294820717131476,2021-02-03,2021-10-11,0.9319847448516814,P1+,0,-0.25666160401531446,2.4166538092599468,1.116620897730743,0.5105114884083255,0.4404434145243583,0.8859937042407015,0.7889681049359424
41,eri,864,10.837078651685394,2022-03-15,2022-09-19,0.9438579483646916,P1+,0,-0.12198614855200492,2.032569143074415,1.909030435996383,0.9843503364747808,0.5526635773531913,1.1790514811175146,1.0530476727867506
42,eri,1011.0,,2023-02-27,2023-06-16,0.9235171025067447,P1+,0,-0.3544099141380752,1.3738319943812975,3.6095901981642347,1.232876657748651,0.36796748206580304,1.4128956644896797,0.9744606713654753
45,fic,758,14.284090909090908,2021-07-21,2021-10-16,0.91497630527384,P1+,0,-0.27902246838612116,1.5631923385007307,0.8261161952855937,0.7032246046086902,0.6440804394182641,0.5402848172618246,0.49554312896370395
46,fic,898,10.0,2022-04-09,2022-05-31,0.9023260970946644,P1+,0,-0.7274818869982006,1.3078015241629313,2.775679085094838,1.0451220992216004,0.5941716010133651,2.0,0.7998731861796562
47,fic,834.0,11.486842105263158,2022-06-11,2022-08-25,0.8956166361311225,P1+,0,-0.7148036050647462,0.9297711124662107,3.8796944093049635,1.2579360379973772,0.4499420697645386,2.0,0.8927340775977118
48,fic,917.0,10.0,2022-09-03,2022-11-20,0.8879199547398461,P1+,0,0.007962756572012866,1.0808030783947313,3.582541036214447,1.3659535024604124,0.43394163906743866,1.567796725672506,0.8766044169838622
49,fic,930.0,,2023-05-03,2023-06-15,0.9123521871365637,P1+,0,-0.7054803662521697,1.2777537226869182,3.425484781775522,1.331441023463715,0.5992143403016782,2.0,1.1324585106832117
50,her,850,,2022-09-16,2022-11-16,0.8741264567850966,P1+,0,-2.1703192235400657,0.6953477233952851,4.098883820472503,0.639105725690906,0.4208822168531981,0.35277770897434063,0.3640041151486127
51,her,685,,2023-05-04,2023-06-07,0.8128452663789855,!P1+,0,-4.824028602122436,11.178151678776107,9.416947602208163,0.29069098156859624,0.13765927929045121,0.21236699479530916,0.18923588781422138
55,hor,741,,2022-10-31,2023-04-14,0.8524013915902192,P1+,0,0.7222063797286401,0.3581511040962175,2.971176755273504,1.0307761149211758,0.31207967967517136,0.3391164434928674,0.267754547862091
56,hor,841,,2023-05-12,2023-06-10,0.8972990815223304,P1+,0,-0.5519865641550004,2.204455945963716,1.4233215521113316,0.7051538500969279,0.5434616514114972,0.8889185202845105,0.8885641929069842
60,las,737,15.175298804780876,2020-10-07,2022-02-20,0.42909246283204416,P1+,0,-5.0,20.0,0.2,0.1,2.0,2.0,0.1
61,las,591,,2022-09-12,2023-06-16,0.9085702679291097,P1+,0,0.007121918972313446,3.211775742437768,0.748812743312291,0.2597368817484724,0.6133571258798517,0.7459305853389222,0.5966858781222052
65,nem,903,8.733727810650887,2020-02-02,2020-07-19,0.8877669524242845,P1+,0,-0.4077412894195718,1.6776262246345641,1.0638234631383119,0.6311747024979736,0.7927805476620959,0.87567928185256,0.7096091665680728
66,nem,1024,7.534313725490196,2020-07-28,2021-02-16,0.8769036465704092,P1+,0,-1.0575082462670433,0.5553224329314105,5.596591156866331,0.8880964627403347,0.4442858410444422,1.161623928307534,0.48878953186878604
67,nem,1004.0,7.375,2021-06-27,2021-09-14,0.9012917334508384,P1+,0,-2.0235502469302227,0.9844057717318476,4.268716232624674,1.1415360641789603,0.5148558509394271,0.7938407806139215,0.5348284405722864
68,nem,1042.0,6.292397660818714,2022-03-22,2022-09-20,0.9294461545956256,P1+,0,-0.3476918476002282,2.1359673863013158,1.3789848902814177,0.8717535109726438,0.6253076518281969,1.2094237441460403,0.8316693749078301
70,ner,1016,7.1241534988713315,2020-05-10,2021-07-26,0.8696849798203045,P1+,0,0.31005872475031676,0.5813517651517248,0.8719710925790164,0.14557888803404945,1.1476821526070824,0.1,0.3008479442936949
71,ner,1155,4.6,2021-09-20,2022-01-17,0.8913553668383319,P1+,0,-0.4073735020411891,1.2177038279246313,0.20590120946239185,0.29603971570529203,2.0,0.6244277262176696,0.33637674393608685
72,ner,1074.0,5.967741935483871,2022-02-04,2022-05-07,0.8999115321276877,P1+,0,-1.4763253979870865,1.1346327819998463,0.2581280152139104,0.2682981558195745,2.0,0.7654491491699809,0.283285554832995
73,ner,1132.0,4.983050847457627,2022-05-14,2022-09-11,0.8956150145662838,P1+,0,-1.5188847282581164,1.2068718644046725,0.8048950717542326,0.3555924175673433,0.8559359760130989,0.6755643360588265,0.16226828217286834
74,ner,1071.0,,2022-11-03,2023-08-15,0.8866320134085621,P1+,0,-1.6584325225996708,1.0582275884031742,1.5662094639229465,0.32557378153195016,0.6731674170918255,0.5466350720134828,0.18827700700312097
75,oll,1269,1.0,2020-01-18,2020-02-26,0.8405261653001166,P1+,0,-0.08737925279445594,2.476056178359068,0.2,0.634428115545067,0.1,0.7369201011486028,0.1
76,oll,1159,4.050251256281407,2020-05-31,2020-12-15,0.9033636397129469,P1+,0,-0.8374729175251896,1.311160989666695,2.1701803134109823,0.7261574814159067,0.45080768337762545,0.8432991426749992,0.5796275775100508
77,oll,1239.0,2.1639344262295084,2021-07-24,2021-11-22,0.9294091734278305,P1+,0,-0.5539608745498462,2.229099051890328,1.3411462618070547,0.9727121896322223,0.6546827659374375,0.8172423549119053,0.630795529190061
78,oll,1183.0,1.702970297029703,2021-12-04,2022-03-14,0.9261456865028858,P1+,0,-0.5701409849706505,2.408986487350906,1.2850849640494815,0.7903754545356516,0.7220275472575759,0.7469450654501376,0.5712526488857796
80,pac,1308,1.0,2020-05-02,2020-10-12,0.8842517121683042,P1+,0,0.18808398884370756,1.8771351677102504,0.8906179338235503,0.629037135429963,0.2811609356830103,0.7831811456551773,0.5206392945829301
81,pac,1161,2.5671641791044775,2020-10-27,2021-05-15,0.8398528142669933,P1+,0,-1.6176573931672849,1.2001669980203094,2.312751657439245,0.7107080775502472,0.3743569993939713,0.184244466454349,0.308184538281965
82,pac,1274.0,1.1594202898550725,2021-07-05,2021-11-19,0.8881530521030672,P1+,0,-1.2067870675952534,1.241129848934639,2.314829352043697,0.853815936927308,0.3812603956425255,0.5153258635344957,0.6900558087418383
83,pac,1156.0,2.702127659574468,2022-01-22,2022-03-09,0.8605907509259157,P1+,0,-1.0239626167601628,1.56542798728214,2.11151975564842,0.6529603926945043,0.320537822183768,0.4641905230630253,0.22554165204528795
84,pac,1145.0,,2023-02-07,2023-06-14,0.8398008975047913,P1+,0,-1.5252322847635766,0.9401432270510166,4.168535189636728,1.0743063344887864,0.1,0.4580469816577691,0.1399930765429241
85,pat,864,10.64406779661017,2022-07-12,2022-10-03,0.7814524483316883,P1+,0,-5.0,0.18305902476227043,5.734579555590806,1.780537546597942,0.1,1.7126769199105445,0.1
86,pat,830,,2022-11-07,2023-06-16,0.8709134442665866,P1+,0,-3.801027587384544,0.40577647436513686,3.3908421350895437,1.377761014756635,0.1,0.5292340983884413,0.1
90,yoh,835,11.476964769647697,2020-04-29,2021-05-02,0.8820427003372512,P1+,0,-0.37141289305966074,1.1856339661777067,1.5819289436647088,0.16317545513139137,0.35420198760481303,1.4074368226177243,0.8680431235576315
91,yoh,906,8.817391304347826,2022-05-17,2022-11-14,0.8988490832391651,P1+,0,0.0502032132342389,1.0853032784414882,3.1875563114942214,1.144912517222395,0.28010706062081864,0.6800454000661766,0.2465859203479646
