,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
31,ces,848,11.629032258064516,2020-07-17,2020-09-16,0.8869197307653016,P1,0,-1.182183375564673,1.2046694623592058,2.355478521155418,0.9866788601736389,0.5627957715684525,0.7139057922996681
32,ces,811.0,11.69047619047619,2020-10-03,2020-11-13,0.872988283621476,P1,0,-1.055909876662868,1.014902048453994,2.736020467651388,0.9780107017651117,0.4330734603490468,0.7545959679668981
33,ces,970.0,8.820224719101123,2021-12-14,2022-03-12,0.9036016248160663,P1,0,-0.7951374241925545,1.1201729085003833,3.702262550854104,1.5180319388598764,0.47192654127910516,0.7934287053447701
35,dor,829,12.12,2020-11-15,2021-02-22,0.8618471364759471,P1,0,-0.5695348628090302,1.9520891784218732,1.787039638740822,0.32359032297590695,0.17878379105711067,0.49046644350506885
36,dor,723,15.272727272727273,2021-06-17,2021-09-12,0.9175949413342591,P1,0,-0.37380647697535796,2.64849592830401,1.5167760117952362,0.48910116676984383,0.3186604164401148,1.1041414540154628
37,dor,783.0,15.073170731707316,2021-10-20,2022-02-19,0.8964626398058833,P1,0,-0.14767457699570383,2.554690646218172,1.3578166758016332,0.6811663285476318,0.30192128066150814,1.6939975389331983
38,dor,708.0,14.88135593220339,2022-04-14,2022-06-11,0.8917695376527083,P1,0,-0.398079598378441,2.512163449077306,1.4549228597241797,0.8046825456345973,0.3280109790135008,1.3431914406462213
39,dor,780.0,,2023-05-14,2023-06-10,0.8751126953622357,P1,0,-0.364932111765267,1.8214296666526706,2.1378220725744117,1.052409532261759,0.2861854754384767,1.1422388377370665
40,eri,659,16.294820717131476,2021-02-03,2021-10-11,0.9319369603763625,P1,0,-0.2545384707020377,2.4368276507128885,1.0991292796096734,0.511645469924545,0.4383209127189038,0.8353657163770837
41,eri,864,10.837078651685394,2022-03-15,2022-09-19,0.9430746934473103,P1,0,-0.11993331302939533,2.066925512726418,1.8552280622377268,0.9836150560835407,0.5513368669879188,1.1024810643530598
42,eri,1011.0,,2023-02-27,2023-06-16,0.9222732944439795,P1,0,-0.3323615236516142,1.4570704089245392,3.3071669853594994,1.2247677400697727,0.36272428956813835,1.0991728131660992
45,fic,758,14.284090909090908,2021-07-21,2021-10-16,0.9153054479416651,P1,0,-0.27895309893014525,1.563450164423296,0.8256975139956869,0.70484899578699,0.6419781337564264,0.5219859276741323
46,fic,898,10.0,2022-04-09,2022-05-31,0.8927891831441525,P1,0,-0.6857820241403249,1.354860082562451,2.474749393789154,1.0758694310773322,0.5909235190656219,1.0650330094331357
47,fic,834.0,11.486842105263158,2022-06-11,2022-08-25,0.8865291316876791,P1,0,-0.6738454783757781,0.9707927040325555,3.4855367551612257,1.2804042383250627,0.4427140972541979,1.152942630670454
48,fic,917.0,10.0,2022-09-03,2022-11-20,0.8851213946043295,P1,0,0.005297482766852475,1.153330540021647,3.2080870900470586,1.3765421418884034,0.4286569476416531,1.0457843267504434
49,fic,930.0,,2023-05-03,2023-06-15,0.9064494939217087,P1,0,-0.6556521254240691,1.3399983568135936,2.979674049595407,1.3230390380987809,0.5986069719750386,1.461594523562234
50,her,850,,2022-09-16,2022-11-16,0.8742201951723132,P1,0,-2.1689648591647854,0.6957360740559417,4.09562882894984,0.6382619852107032,0.420931353607959,0.36295035862546265
51,her,685,,2023-05-04,2023-06-07,0.8142049478122995,!P1,0,-4.74799934849944,11.216875658504659,9.778352756163832,0.15062371644706654,0.1277112268070941,0.1872786353335863
55,hor,741,,2022-10-31,2023-04-14,0.8517519850386388,P1,0,0.726641092623104,0.3555519870748619,3.0010594747207127,1.0385134367077087,0.3098210507825127,0.2879790812241498
56,hor,841,,2023-05-12,2023-06-10,0.8964219718395384,P1,0,-0.5519678438689715,2.204532751606344,1.4232367729562467,0.7051617522548485,0.5434594893896273,0.8886915561797888
60,las,737,15.175298804780876,2020-10-07,2022-02-20,0.912292156259138,P1,0,0.15196007820096782,2.6076090818950943,0.6012474660495031,0.2514610315273079,0.4751853779720163,0.5889732804504543
61,las,591,,2022-09-12,2023-06-16,0.9087865081246539,P1,0,0.007179569139972259,3.2437286417445694,0.735169842864098,0.26148662857894406,0.6085145121211476,0.6719972518845542
65,nem,903,8.733727810650887,2020-02-02,2020-07-19,0.8874685569949987,P1,0,-0.4026725121530935,1.6981985277389275,1.0389437973686433,0.6344883794507411,0.7899759933473979,0.7777482889696004
66,nem,1024,7.534313725490196,2020-07-28,2021-02-16,0.8718100627600734,P1,0,-1.0713295904938938,0.549643720798349,5.625293630145054,0.945543912906655,0.4446468395561962,0.5378062950451206
67,nem,1004.0,7.375,2021-06-27,2021-09-14,0.9008675319228282,P1,0,-2.039848060743199,0.9749161165095063,4.294404302401373,1.1672569565320465,0.5136596895676216,0.5710637653771342
68,nem,1042.0,6.292397660818714,2022-03-22,2022-09-20,0.9278401464184918,P1,0,-0.33203829541592406,2.232342680527058,1.272245972204678,0.8700013707758034,0.6215180535955634,0.9796041668854453
70,ner,1016,7.1241534988713315,2020-05-10,2021-07-26,0.8697983181727733,P1,0,0.30809709849599703,0.5853411608903496,0.8484903546803189,0.13987818985187714,1.165650976309845,0.2478888450217073
71,ner,1155,4.6,2021-09-20,2022-01-17,0.8903763693659639,P1,0,-0.40351777326384314,1.2317448326407185,0.20029916139472487,0.2947313024445047,2.0,0.47469625574859114
72,ner,1074.0,5.967741935483871,2022-02-04,2022-05-07,0.8992815221985284,P1,0,-1.464661412202927,1.1425330146734032,0.2529346697120168,0.27456645610890784,2.0,0.45212758417635207
73,ner,1132.0,4.983050847457627,2022-05-14,2022-09-11,0.8969928249592086,P1,0,-1.5260566935800681,1.1993539979626104,0.8302609897311068,0.36259299276343937,0.8319953194233457,0.3549414858443151
74,ner,1071.0,,2022-11-03,2023-08-15,0.8861697226517078,P1,0,-1.6753182209774384,1.0469377714824357,1.601531442348208,0.3313427324411349,0.6674455336338385,0.2638533063540519
