,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.929,P1,67,-0.503808211016712,1.5763442053461716,1.849303285279151,0.5253588801968838,0.5834186570463111,0.7289626343770267
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.897,P1,67,-0.17754601535723258,3.7298589086015,1.0412518864513312,0.8846261923894401,0.32935336728676,1.0257870064910244
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.938,P1,67,0.7772051023233288,1.5606774382661213,1.403078559594461,1.0118617969448958,0.5741101293482256,0.6857491842331794
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.933,P1,67,-0.49046486241898946,3.4730098511905947,0.7518078845635062,0.5662983577766126,0.4842990559059436,0.48015972843318794
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.942,P1,67,-0.21091621841922875,2.204411045875178,2.234071687281041,1.1382980886806624,0.4351829166245195,0.6956614299673956
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.933,P1,67,-0.3879668174861811,2.1750655465327835,1.3231553753394782,0.35574355562675236,0.3180997341495398,0.7110891847847529
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.921,P1,67,-0.39586835881127597,1.6779217732164036,2.2774131878866144,0.9590051338909841,0.4727325964078954,0.8059100115601276
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.910,P1,67,-0.2749163967479585,2.75079700353641,1.392371648541004,0.7351272764036426,0.17305264352859379,1.1439011387405387
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.946,P1,67,-0.20644730966838215,2.364666897801706,1.7706990786160102,0.7518659900117108,0.45559765707108696,0.9944998266870047
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.906,P1,67,-0.4843805739165101,1.325382677039691,2.5921428538452553,1.2255260066840197,0.45901984947917673,1.1141442481531143
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.880,P1,67,-1.0244964007766693,2.158082426782235,0.26960838702626067,0.12327748519755015,0.1,1.3030893206731247
11,las,706.6836086404066,2020-07-14,2023-06-16,0.938,P1,67,0.133502943279294,2.7257663005374977,0.7249023076340148,0.40457246332046354,0.5194372158179192,0.5611412588422594
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.931,P1,67,-0.48236538072201046,1.8557457228776424,1.8776470687607705,0.8966975365612858,0.5771136064986105,0.8218074196841498
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.917,P1,67,-1.9220112425639462,0.6621736652322252,2.284491264790485,0.31285655041825616,0.8336175907865563,0.3662195089805262
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.857,P1,67,1.9708372945118664,0.9646617589322698,10.0,0.8077398553549775,0.3562270516027863,0.46140972099137106
15,olg,923.780701754386,2021-07-29,2022-07-05,0.941,P1,67,-5.0,0.2788997608477697,2.4965045011022085,1.806764853451917,0.19071787776963842,0.5173378457765708
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.931,P1,67,-0.49963511565850477,2.227616678155466,1.4924619011389073,0.9195223475324881,0.5761050968966469,0.6593539047090583
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.899,P1,67,-0.5459779592007608,1.669872931334184,2.0623672317055,0.687968096643918,0.2980473546216912,0.6406656533240452
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.902,P1,67,-4.646546062894934,0.3389081515233937,10.0,1.9777796799012612,0.1,0.18598606425511655
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.945,P1,67,-0.7126048913402862,1.9517514337400992,0.2,0.1,1.4382151761485495,0.5718778060786915
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.898,P1,67,-0.08048049714978073,1.1392219272145117,2.844967347559142,0.9882967191474813,0.25317405823248984,0.5248219263117802
