,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha,delta
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.938,P2,67,-0.8930251459524194,0.8992139538551701,1.9104795969807522,0.9486666318583843,1.0834150183086992,0.8519302803452636,2.0
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.898,P2,67,-0.27106343139521594,2.4395460009202856,1.344981398816233,1.2543996695709552,0.48774959437569115,1.0464068996624454,1.460703758711472
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.946,P2,67,2.08538483669892,0.5825168504198716,2.1893938497642917,2.0,1.1285231361188721,0.6860911519189755,1.9888418865821833
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.945,P2,67,-0.8949622917905244,1.9133710426411672,0.7748719070677819,1.124211766186278,0.9370581463216233,0.5382429510208592,2.0
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.946,P2,67,-0.3383509148381343,1.3729264199665983,2.819125817655104,1.6260200370292075,0.6252031325229086,0.711196250970203,1.4369777974374087
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.936,P2,67,-0.6151827926961303,1.3775934808113317,1.3801948116928955,0.5995753613075286,0.5766437195846957,0.8975094046746144,2.0
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.920,P2,67,-0.8540349758249254,0.7784896820489973,3.2944105408394235,1.638630932547999,0.8297468607558862,0.8770679514426254,1.8238129247693542
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.910,P2,67,-0.5341234907804735,1.4231287002622282,2.1687742842090434,1.2757376246881935,0.3636494277260498,1.2593619795228836,1.9161039678169915
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.949,P2,67,-0.3713009929002066,1.3183265761725302,2.1664701762227563,1.2234339196174366,0.7598953205028396,1.10496638060553,1.8183285480902505
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.910,P2,67,-0.9110319894799149,0.7051927775146155,3.8297351875059316,1.790064327697038,0.6559232338926752,1.160401151107734,1.5103456780826803
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.878,P2,67,-0.3877253034230552,5.690208647872837,0.28481415639566765,0.1,0.1,1.0044622932804472,0.32133957336288305
11,las,706.6836086404066,2020-07-14,2023-06-16,0.943,P2,67,0.2178332109154012,1.6690777949991287,0.6810045651246776,0.8087659995126303,0.9320608571972906,0.6565385812904113,2.0
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.938,P2,67,-1.1218772436668298,0.802533920789722,2.5777585167393364,1.6727589390811277,1.0677325663351203,0.9107640047620265,2.0
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.917,P2,67,-3.1597646608371055,0.40330624178362734,1.69516135608403,0.7136274313889811,1.6448683535584425,0.36910977041466386,1.8870397522989761
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.858,P2,67,1.8788102716825206,1.0141808640172378,10.0,0.7642171131603397,0.33287783379348995,0.45806773269706696,0.9362305209920202
15,olg,923.780701754386,2021-07-29,2022-07-05,0.941,P2,67,-5.0,0.27941089643670597,3.5478478684518993,1.4992254935560738,0.1330448719477941,0.5127087895336019,0.6135318259246391
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.933,P2,67,-1.149038180891302,0.9684469878766857,2.0443201272033567,1.7254150168819644,1.0793061450504398,0.6840085407704484,1.9029571619240524
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.905,P2,67,-1.116872525867649,0.8210822816683097,2.827480362477754,1.2575873357746337,0.5974709009221654,0.7848195345884149,2.0
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.903,P2,67,-3.6356080572756855,0.43320293995520864,10.0,1.5818007675866599,0.1,0.1467457122576749,0.716638232106759
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.941,P2,67,-0.4653588393299419,2.990812241287465,0.2,0.1,0.9544144851669911,0.5095114561656042,0.586313876073654
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.521,P2,67,-5.0,9.385384608544516,0.2,0.1,1.6835253468813682,0.1,2.0
