,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.894,TK+,67,-2.7495974531840566,0.2739313346128966,1.7914478190929075,2.0,2.0,0.1,0.1
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.902,TK+,67,-0.19274918668115687,3.435085716252883,1.2601181270660553,0.919713717015793,0.36133063276502236,1.1076072803288763,0.873244754505295
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.941,TK+,67,0.7925317539861039,1.535080495290138,1.4561231707059132,0.9809404470634936,0.6074603061728014,0.8441645219961378,0.6423753862775982
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.935,TK+,67,-2.3979672863703816,0.6978569593937027,3.382075244519073,2.0,0.5434814301577052,0.1,0.5510602516591432
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.942,TK+,67,-0.20751704392155143,2.239883302590145,2.2373172224826487,1.1135554464995057,0.42969479285474554,0.7650760542024269,0.7327119370349776
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.892,TK+,67,-1.1439124407901404,0.691206531022442,1.3111460433519202,0.9495317256587829,1.0531383893796296,0.1,0.1
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.925,TK+,67,-0.37736496753188165,1.7616340762040739,1.3261132132804687,0.9323664122661801,0.5900356131387096,0.8111043300233077,2.0
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.915,TK+,67,-0.35203828692873224,2.179531590549891,1.4415881863035784,0.8835892898812322,0.29032168445236284,1.4482807045042723,2.0
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.950,TK+,67,-0.20972245490601954,2.3428242438432587,1.1970381209132344,0.7529573555932575,0.6376421206682261,1.0084086709601081,2.0
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.911,TK+,67,-0.6074696808128119,1.0662197534042384,2.3255981268399726,1.3871580318250238,0.6728894940394983,1.2890569979825914,2.0
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.878,TK+,67,-1.0026762444482382,2.203186811443598,0.3262554976756904,0.1309991738390194,0.1,1.1169899478686,0.5965887666358568
11,las,706.6836086404066,2020-07-14,2023-06-16,0.922,TK+,67,0.541069588410899,0.6572010595540583,2.734200484105009,1.6040109988137716,0.61672521399283,0.1,0.5218107127067187
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.933,TK+,67,-0.4981571870515052,1.7953133914302795,2.0158725882450677,0.880389883554199,0.5654988581667604,0.9344508092744033,0.8090407853809725
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.916,TK+,67,-1.7619512312151242,0.7237068499653097,1.4477266004565927,0.3539954115976665,1.163303888140512,0.8933338593019889,0.4285731231145268
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.839,TK+,67,5.0,0.35473281441010673,7.939327758639179,1.5426052847145812,2.0,0.3252588579897371,0.12821437007735423
15,olg,923.780701754386,2021-07-29,2022-07-05,0.941,TK+,67,-5.0,0.27886373332759723,2.2613027731531647,1.7675225686705764,0.19058894508543486,0.7204556002384601,0.502187111375039
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.915,TK+,67,-1.1993236455531804,0.9143647019393033,3.668427875040474,1.3281928828603657,0.581524594636824,2.0,0.6866472349491125
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.887,TK+,67,-0.5338405419031195,1.6651012422576859,0.6508686590147694,0.6733137164672448,1.2057432356258948,0.7362678298296469,0.1
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.917,TK+,67,-5.0,0.32082322752401865,6.657188797534361,1.9389600697489002,0.1,0.8944155935914977,0.1
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.947,TK+,67,-0.7249950503236331,1.9227075536556237,0.2,0.1,1.3972574895999827,0.6161472922566363,0.7996914580960336
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.903,TK+,67,-0.07895682952303502,1.1478531865686614,2.705079605528192,0.9624453060117947,0.2738027692954262,0.7554698353580835,0.5782088895602441
